Index,Task,EDD_Lmax,EDD_time,ERD_Lmax,ERD_time,Schrage_Lmax,Schrage_time,PreemptSchrage_Lmax,PreemptSchrage_time,Construction_Lmax,Construction_time,Carlier_Lmax,Carlier_time,LB,is_opt_EDD,avgE_EDD,avgE_ERD,avgE_Schrage,avgE_Construction,avgE_Carlier
0,data/100_Independent0000,5343,0.004690,5343,0.004868,5343,0.006541,5343,0.01135,5343,0.62279,5343,0.018225,5343,1,0.00%,0.00%,0.00%,0.00%,0.00%
1,data/100_Independent0001,4717,0.004800,4717,0.004544,4717,0.006325,4717,0.011420,4717,0.63847,4717,0.01822900000000000,4717,1,0.00%,0.00%,0.00%,0.00%,0.00%
2,data/100_Independent0002,5196,0.004768,5196,0.004862000000000000,5196,0.006517,5196,0.01122700000000000,5196,0.620,5196,0.018040,5196,1,0.00%,0.00%,0.00%,0.00%,0.00%
3,data/100_Independent0003,4875,0.004706,4875,0.004680000000000000,4875,0.006240,4875,0.01107900000000000,4875,0.62102,4875,0.017634,4875,1,0.00%,0.00%,0.00%,0.00%,0.00%
4,data/100_Independent0004,4801,0.004605000000000000,4801,0.004496000000000000,4801,0.006001,4801,0.011474,4801,0.63452,4801,0.01817600000000000,4801,1,0.00%,0.00%,0.00%,0.00%,0.00%
5,data/100_Independent0005,5468,0.004635000000000000,5468,0.005019,5468,0.006039,5468,0.01149500000000000,5468,0.6183210000000000,5468,0.01813400000000000,5468,1,0.00%,0.00%,0.00%,0.00%,0.00%
6,data/100_Independent0006,4894,0.005116,4894,0.004589,4894,0.006465,4894,0.011479,4894,0.64104,4894,0.021308,4894,1,0.00%,0.00%,0.00%,0.00%,0.00%
7,data/100_Independent0007,4749,0.00487,4749,0.004845,4749,0.00645200000000000,4749,0.011050,4749,0.6427910000000000,4749,0.017520,4749,1,0.00%,0.00%,0.00%,0.00%,0.00%
8,data/100_Independent0008,5352,0.005406,5352,0.004648000000000000,5352,0.006235,5352,0.011059,5352,0.6318200000000000,5352,0.023801,5352,1,0.00%,0.00%,0.00%,0.00%,0.00%
9,data/100_Independent0009,4995,0.004746,4995,0.005014,4995,0.006330000000000000,4995,0.01138,4995,0.7744,4995,0.03800,4995,1,0.00%,0.00%,0.00%,0.00%,0.00%
10,data/100_Independent0010,4375,0.007473,5381,0.005517,4375,0.008515,4375,0.013144,4375,0.59235,4375,0.031105,4375,1,0.00%,22.99%,0.00%,0.00%,0.00%
11,data/100_Independent0011,3979,0.007411,5014,0.004753000000000000,3979,0.007928,3979,0.013015,3979,0.59764,3979,0.021975,3979,1,0.00%,26.01%,0.00%,0.00%,0.00%
12,data/100_Independent0012,3806,0.007325,4945,0.005024000000000000,3806,0.008205,3806,0.014054,3806,0.6013770000000001,3806,0.023908,3806,1,0.00%,29.93%,0.00%,0.00%,0.00%
13,data/100_Independent0013,3730,0.007567,4863,0.005023,3730,0.008356,3730,0.013564,3730,0.6008850000000000,3730,0.022309,3730,1,0.00%,30.38%,0.00%,0.00%,0.00%
14,data/100_Independent0014,4073,0.007318,5108,0.005102,4073,0.008241,4073,0.013692,4073,0.62012,4073,0.022780,4073,1,0.00%,25.41%,0.00%,0.00%,0.00%
15,data/100_Independent0015,3715,0.00747,4849,0.004944,3715,0.008629,3715,0.023502,3715,0.59449,3715,0.02462200000000000,3715,1,0.00%,30.52%,0.00%,0.00%,0.00%
16,data/100_Independent0016,3961,0.00698,4922,0.004973,3961,0.00794,3961,0.01336400000000000,3961,0.59286,3961,0.022567,3961,1,0.00%,24.26%,0.00%,0.00%,0.00%
